,./Results/demo_toys/mean-Gau
0,"tensor(0.0336, device='cuda:2')"
1,"tensor(-0.0465, device='cuda:2')"
2,"tensor(-0.0090, device='cuda:2')"
3,"tensor(0.0594, device='cuda:2')"
4,"tensor(-0.0248, device='cuda:2')"
5,"tensor(-0.0389, device='cuda:2')"
6,"tensor(0.0629, device='cuda:2')"
7,"tensor(-0.0218, device='cuda:2')"
8,"tensor(0.0024, device='cuda:2')"
9,"tensor(0.0175, device='cuda:2')"
10,"tensor(-0.0175, device='cuda:2')"
11,"tensor(0.0014, device='cuda:2')"
12,"tensor(0.0180, device='cuda:2')"
13,"tensor(-0.0074, device='cuda:2')"
14,"tensor(-0.0195, device='cuda:2')"
15,"tensor(0.0086, device='cuda:2')"
16,"tensor(0.0020, device='cuda:2')"
17,"tensor(0.0100, device='cuda:2')"
18,"tensor(-0.0124, device='cuda:2')"
19,"tensor(0.0215, device='cuda:2')"
